company,careers_url,priority_queries,notes
Microsoft,https://careers.microsoft.com/v2/global/en/home.html,"Data Analyst; Data Science; Business Analytics; Program Manager - Data; Operations Analyst","Watch early-career and internships"
Google / Alphabet,https://www.google.com/about/careers/applications/jobs/results/?hl=en_US,"Data Analyst; Business Analyst; Data Science; Early Career; Intern","FAANG watchlist"
NVIDIA,https://www.nvidia.com/en-us/about-nvidia/careers/,"Data Science; Data Analyst; Operations Analyst; Supply Chain; AI","Strong AI and manufacturing/operations adjacency"
OpenAI,https://openai.com/careers/,"Data; Analytics; Applied AI; Operations; Emerging Talent; Residency","Watch emerging talent and residency paths"
X / xAI,https://x.ai/careers,"Data; Operations; AI; Product Analytics; Business Operations","X careers redirects to xAI careers"
Netflix,https://www.jobs.netflix.com/,"Data Science; Analytics; Data Engineering; Operations","FAANG watchlist"
Disney,https://www.disneycareers.com/en/search_jobs/search-results?c=US,"Data Science and Analytics; Technology; Operations; Internships","Watch Disney, ESPN, Experiences, and Product & Technology"
Meta,https://www.metacareers.com/jobs/,"Data Analyst; Data Science; Product Analytics; University Grad; Internship","FAANG watchlist"
Amazon,https://www.amazon.jobs/en/,"Business Analyst; Data Analyst; Data Engineer; Operations; Supply Chain","FAANG watchlist"
Apple,https://jobs.apple.com/en-us/search?location=united-states-USA,"Data Science; AIML; Operations; Business Analytics; New Grad","FAANG watchlist"
