company,careers_url,priority_queries,category,sponsorship_signal,notes
"Microsoft","https://careers.microsoft.com/v2/global/en/home.html","Data Analyst; Business Analyst; Data Science; Business Analytics; Operations Analyst; Product Data Analyst","Big Tech","Large H-1B employer signal","Prioritize early-career analytics and data science roles; verify sponsorship on each posting"
"Google / Alphabet","https://www.google.com/about/careers/applications/jobs/results/?hl=en_US","Data Analyst; Business Analyst; Data Science; Product Analyst; Early Career; Intern","Big Tech","Large H-1B employer signal","Strong target for analytics and business intelligence roles"
"Amazon","https://www.amazon.jobs/en/","Business Analyst; Data Analyst; Data Engineer; Operations Analyst; Supply Chain Analyst; Business Intelligence Engineer","Big Tech / Retail","Large H-1B employer signal","Very high-volume sponsor signal; include BIE and operations analytics titles"
"Apple","https://jobs.apple.com/en-us/search?location=united-states-USA","Data Analyst; Business Analyst; Data Science; AIML; Operations Analytics; Supply Chain Analytics","Big Tech / Hardware","Large H-1B employer signal","Watch operations and supply chain analytics as well as AIML-adjacent roles"
"Meta","https://www.metacareers.com/jobs/","Data Analyst; Data Science; Product Analytics; Business Analyst; University Grad; Internship","Big Tech","Large H-1B employer signal","Prioritize product analytics and data science university roles"
"NVIDIA","https://www.nvidia.com/en-us/about-nvidia/careers/","Data Analyst; Data Science; Business Analytics; Operations Analyst; Supply Chain; AI","Big Tech / Semiconductors","Large H-1B employer signal","Strong AI and manufacturing/operations adjacency"
"Netflix","https://www.jobs.netflix.com/","Data Analyst; Analytics; Data Science; Data Engineering; Operations Analytics","Big Tech / Media","Known H-1B filing signal","Selective hiring; watch analytics and data science openings"
"OpenAI","https://openai.com/careers/","Data; Analytics; Applied AI; Operations; Business Operations; Emerging Talent; Residency","AI / Research","Known H-1B filing signal","Watch analytics and business operations roles; not all roles are entry-level"
"X / xAI","https://x.ai/careers","Data Analyst; Operations Analyst; Business Operations; AI; Product Analytics","AI / Social","Known H-1B filing signal","X careers redirects to xAI careers; verify role location and sponsorship"
"Salesforce","https://careers.salesforce.com/en/jobs/","Data Analyst; Business Analyst; Data Science; Revenue Operations; Product Analytics","Enterprise Software","Large H-1B employer signal","Good target for customer data and revenue analytics"
"Oracle","https://www.oracle.com/careers/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Cloud Analytics","Enterprise Software","Large H-1B employer signal","Watch cloud analytics and business intelligence roles"
"IBM","https://www.ibm.com/careers/search","Data Analyst; Business Analyst; Data Scientist; Analytics Consultant; Business Intelligence","Enterprise Software / Consulting","Large H-1B employer signal","Good international hiring history; verify consulting role travel requirements"
"Adobe","https://careers.adobe.com/us/en/search-results","Data Analyst; Product Analyst; Data Science; Business Analytics; Marketing Analytics","Enterprise Software","Large H-1B employer signal","Strong fit for product and marketing analytics"
"ServiceNow","https://careers.servicenow.com/jobs/","Data Analyst; Business Analyst; Data Science; Product Analytics; Operations Analytics","Enterprise Software","Known H-1B filing signal","Watch early-career analytics and product operations roles"
"Intuit","https://www.intuit.com/careers/search-jobs/","Data Analyst; Business Analyst; Data Science; Product Analytics; Fraud Analytics","Fintech / Software","Known H-1B filing signal","Strong analytics culture; watch TurboTax and QuickBooks data teams"
"PayPal","https://www.paypal.com/us/cshelp/article/how-do-i-view-and-apply-for-open-positions-at-paypal-help445","Data Analyst; Business Analyst; Risk Analyst; Product Analytics; Data Science","Fintech","Known H-1B filing signal","Prioritize risk analytics and product analytics"
"Block","https://block.xyz/careers/jobs","Data Analyst; Business Analyst; Product Analytics; Risk Analytics; Data Science","Fintech","Known H-1B filing signal","Watch Cash App and Square analytics roles"
"Stripe","https://stripe.com/jobs/search","Data Analyst; Business Operations; Strategy Analyst; Product Analytics; Risk Analytics","Fintech","Known H-1B filing signal","High bar; strong target for business operations analytics"
"Visa","https://usa.visa.com/careers.html","Data Analyst; Business Analyst; Data Science; Risk Analyst; Product Analytics","Fintech / Payments","Large H-1B employer signal","Strong sponsor-friendly signal and analytics-heavy teams"
"Mastercard","https://careers.mastercard.com/us/en","Data Analyst; Business Analyst; Data Science; Product Analytics; Consulting Analyst","Fintech / Payments","Known H-1B filing signal","Watch analytics consulting and data science roles"
"Uber","https://www.uber.com/us/en/careers/list/","Data Analyst; Product Analyst; Operations Analyst; Data Science; Marketplace Analytics","Mobility / Tech","Large H-1B employer signal","Strong analytics fit across operations and marketplace teams"
"Lyft","https://www.lyft.com/careers","Data Analyst; Product Analyst; Operations Analyst; Data Science; Business Analytics","Mobility / Tech","Known H-1B filing signal","Good target for marketplace and operations analytics"
"Airbnb","https://careers.airbnb.com/","Data Analyst; Product Analyst; Data Science; Business Operations; Analytics","Marketplace Tech","Known H-1B filing signal","Selective; prioritize analytics and business operations"
"DoorDash","https://careers.doordash.com/","Data Analyst; Business Analyst; Strategy and Operations; Data Science; Product Analytics","Marketplace Tech","Large H-1B employer signal","Strong fit for operations analytics and marketplace analytics"
"Instacart","https://instacart.careers/current-openings/","Data Analyst; Business Analyst; Product Analytics; Operations Analytics; Data Science","Marketplace Tech","Known H-1B filing signal","Watch analytics and catalog/supply roles"
"LinkedIn","https://www.linkedin.com/jobs/collections/recommended/","Data Analyst; Business Analyst; Data Science; Product Analytics; Insights Analyst","Professional Network","Large H-1B employer signal","Microsoft-owned; use LinkedIn job filters plus Microsoft careers"
"TikTok / ByteDance","https://careers.tiktok.com/","Data Analyst; Business Analyst; Product Analyst; Data Science; Trust and Safety Analytics","Consumer Tech","Large H-1B employer signal","Strong international hiring signal; verify location and sponsorship"
"Snap","https://snap.com/en-US/jobs","Data Analyst; Product Analyst; Data Science; Business Analytics; Measurement Analyst","Consumer Tech","Known H-1B filing signal","Watch product analytics and measurement science"
"Pinterest","https://www.pinterestcareers.com/jobs/","Data Analyst; Product Analyst; Data Science; Business Analytics; Growth Analytics","Consumer Tech","Known H-1B filing signal","Good target for product and growth analytics"
"Roblox","https://careers.roblox.com/jobs","Data Analyst; Product Analyst; Data Science; Business Analytics; Economy Analytics","Gaming / Platform","Known H-1B filing signal","Watch trust safety economy and product analytics"
"Electronic Arts","https://www.ea.com/careers","Data Analyst; Product Analyst; Data Science; Game Analytics; Business Intelligence","Gaming","Known H-1B filing signal","Good analytics fit for game telemetry and BI"
"Cisco","https://jobs.cisco.com/jobs/SearchJobs/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Operations Analyst","Networking / Hardware","Large H-1B employer signal","Watch supply chain operations and product analytics"
"Qualcomm","https://careers.qualcomm.com/careers","Data Analyst; Business Analyst; Data Science; Operations Analyst; Supply Chain Analytics","Semiconductors","Large H-1B employer signal","Strong hardware analytics and operations target"
"Broadcom","https://www.broadcom.com/company/careers","Data Analyst; Business Analyst; Data Science; Operations Analytics; Finance Analytics","Semiconductors","Large H-1B employer signal","Watch analytics roles after VMware integration"
"Intel","https://jobs.intel.com/en","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Semiconductors","Large H-1B employer signal","Very strong manufacturing analytics fit"
"AMD","https://careers.amd.com/careers-home/jobs","Data Analyst; Business Analyst; Data Science; Operations Analytics; Supply Chain Analytics","Semiconductors","Known H-1B filing signal","Watch analytics and operations roles"
"Micron Technology","https://www.micron.com/about/careers","Data Analyst; Data Science; Manufacturing Analytics; Operations Analyst; Supply Chain Analytics","Semiconductors","Large H-1B employer signal","Excellent manufacturing data target"
"Texas Instruments","https://careers.ti.com/","Data Analyst; Business Analyst; Manufacturing Analytics; Operations Analyst; Supply Chain Analytics","Semiconductors","Known H-1B filing signal","Watch new grad and manufacturing analytics"
"Applied Materials","https://www.appliedmaterials.com/us/en/careers.html","Data Analyst; Data Science; Manufacturing Analytics; Operations Analyst; Supply Chain Analytics","Semiconductor Equipment","Known H-1B filing signal","Already appeared in refresh; strong manufacturing analytics target"
